调用时间	资源类型	资源	消费金额(¥)
2026-05-07 14:25:53	模型	claude-opus-4.6	¥2.12
2026-05-07 14:21:04	模型	claude-opus-4.6	¥0.30
2026-05-07 14:21:04	模型	claude-opus-4.6	¥1.73
2026-05-07 14:15:04	模型	claude-opus-4.6	¥1.77
2026-05-07 14:15:04	模型	claude-opus-4.6	¥0.01
2026-05-07 13:48:03	模型	claude-opus-4.6	¥0.00
2026-05-07 12:21:03	模型	claude-sonnet-4.6	¥1.05
2026-05-07 11:21:04	模型	claude-opus-4.6	¥1.76
2026-05-07 11:21:02	模型	claude-opus-4.6	¥1.50
2026-05-06 16:48:04	模型	claude-opus-4.6	¥0.35
2026-05-06 16:45:02	模型	claude-opus-4.6	¥2.87
2026-05-06 16:30:03	模型	claude-opus-4.6	¥1.38
2026-05-06 16:21:02	模型	claude-opus-4.6	¥1.95
2026-05-06 16:18:02	模型	claude-opus-4.6	¥0.03
2026-05-06 15:48:02	模型	claude-opus-4.6	¥1.28
2026-05-06 14:54:03	模型	claude-opus-4.6	¥1.29
2026-05-06 14:54:03	模型	claude-opus-4.6	¥3.70
2026-05-06 14:51:04	模型	claude-opus-4.6	¥1.27
2026-05-06 14:45:02	模型	claude-opus-4.6	¥1.16
2026-05-06 14:42:02	模型	claude-opus-4.6	¥3.87
2026-05-06 14:39:02	模型	claude-opus-4.6	¥0.06
2026-05-06 14:36:03	模型	claude-sonnet-4.6	¥2.98
2026-05-06 14:27:04	模型	claude-opus-4.6	¥0.92
2026-05-06 14:27:03	模型	claude-sonnet-4.6	¥0.06
2026-05-05 21:30:03	模型	claude-sonnet-4.6	¥1.23
2026-05-05 21:27:02	模型	claude-sonnet-4.6	¥1.91
2026-05-05 21:21:02	模型	claude-sonnet-4.6	¥2.23
2026-05-05 15:12:03	模型	gemini-3.1-pro-preview	¥0.01
2026-05-02 22:36:04	模型	claude-opus-4.6	¥1.28
2026-05-02 22:33:03	模型	claude-opus-4.6	¥1.40
2026-05-02 22:09:02	模型	gemini-3.1-pro-preview	¥0.02
2026-05-02 21:12:02	模型	gpt-5.4	¥0.00
2026-05-02 21:03:01	模型	gpt-5.4	¥0.00
2026-05-02 18:36:02	模型	gemini-3.1-pro-preview	¥0.05
2026-05-02 18:30:02	模型	gemini-3.1-pro-preview	¥0.04
2026-05-02 17:45:02	模型	gemini-3.1-pro-preview	¥0.04
2026-05-02 08:57:02	模型	claude-sonnet-4.6	¥0.00
2026-05-02 01:54:01	模型	claude-sonnet-4.6	¥0.01
2026-05-02 01:51:02	模型	claude-opus-4.6	¥0.00
2026-05-02 01:48:02	模型	gemini-3.1-pro-preview	¥0.10
2026-05-02 01:45:01	模型	gemini-3.1-pro-preview	¥0.12
2026-05-02 01:42:03	模型	claude-opus-4.6	¥0.32
2026-05-02 01:39:03	模型	gemini-3.1-pro-preview	¥0.13
2026-05-02 01:33:02	模型	gpt-5.4	¥0.31
2026-05-02 01:30:03	模型	gpt-5.4	¥0.00
2026-05-02 01:21:01	模型	gpt-5.4	¥1.68
2026-05-02 01:15:02	模型	gpt-5.4	¥0.00
2026-05-02 01:12:02	模型	gemini-3.1-pro-preview	¥0.08
2026-05-02 01:06:01	模型	gemini-3.1-pro-preview	¥0.00
2026-05-02 01:00:07	模型	claude-opus-4.6	¥1.21
2026-05-02 00:48:01	模型	gpt-5.4	¥0.00
2026-05-02 00:24:01	模型	gpt-5.4	¥0.00
2026-05-02 00:18:21	模型	claude-sonnet-4.6	¥1.38
2026-05-01 23:54:02	模型	claude-sonnet-4.6	¥0.00
2026-05-01 23:36:02	模型	claude-opus-4.6	¥1.49
2026-05-01 23:33:01	模型	claude-opus-4.6	¥0.00
2026-05-01 23:21:02	模型	claude-sonnet-4.6	¥0.31
2026-05-01 23:18:01	模型	gpt-5.4	¥0.00
2026-05-01 23:15:02	模型	claude-sonnet-4.6	¥1.20
2026-05-01 23:12:02	模型	claude-sonnet-4.6	¥0.00
2026-05-01 23:09:01	模型	gpt-5.4	¥0.00
2026-05-01 23:00:05	模型	gpt-5.4	¥0.23
2026-05-01 22:57:03	模型	gpt-5.4	¥0.00
2026-05-01 22:54:02	模型	gpt-5.4	¥0.00
2026-05-01 00:19:46	-	-	¥0.06
